Semana,Ethereum: (Todo el mundo)
2017-01-01,4
2017-01-08,3
2017-01-15,3
2017-01-22,2
2017-01-29,2
2017-02-05,2
2017-02-12,3
2017-02-19,3
2017-02-26,7
2017-03-05,5
2017-03-12,13
2017-03-19,10
2017-03-26,9
2017-04-02,7
2017-04-09,6
2017-04-16,6
2017-04-23,10
2017-04-30,18
2017-05-07,15
2017-05-14,15
2017-05-21,50
2017-05-28,39
2017-06-04,45
2017-06-11,75
2017-06-18,57
2017-06-25,55
2017-07-02,35
2017-07-09,43
2017-07-16,40
2017-07-23,27
2017-07-30,25
2017-08-06,31
2017-08-13,32
2017-08-20,29
2017-08-27,34
2017-09-03,32
2017-09-10,27
2017-09-17,22
2017-09-24,19
2017-10-01,18
2017-10-08,25
2017-10-15,29
2017-10-22,24
2017-10-29,29
2017-11-05,32
2017-11-12,29
2017-11-19,44
2017-11-26,67
2017-12-03,80
2017-12-10,98
2017-12-17,89
2017-12-24,59
2017-12-31,73
2018-01-07,100
2018-01-14,80
2018-01-21,47
2018-01-28,49
2018-02-04,45
2018-02-11,31
2018-02-18,27
2018-02-25,22
2018-03-04,22
2018-03-11,21
2018-03-18,22
2018-03-25,23
2018-04-01,17
2018-04-08,17
2018-04-15,17
2018-04-22,18
2018-04-29,19
2018-05-06,20
2018-05-13,15
2018-05-20,14
2018-05-27,12
