Semana,Ripple: (Todo el mundo)
2017-01-01,2
2017-01-08,2
2017-01-15,2
2017-01-22,2
2017-01-29,2
2017-02-05,2
2017-02-12,2
2017-02-19,2
2017-02-26,2
2017-03-05,2
2017-03-12,2
2017-03-19,2
2017-03-26,2
2017-04-02,3
2017-04-09,2
2017-04-16,2
2017-04-23,2
2017-04-30,3
2017-05-07,5
2017-05-14,6
2017-05-21,7
2017-05-28,5
2017-06-04,5
2017-06-11,5
2017-06-18,5
2017-06-25,4
2017-07-02,4
2017-07-09,4
2017-07-16,4
2017-07-23,4
2017-07-30,4
2017-08-06,4
2017-08-13,5
2017-08-20,8
2017-08-27,7
2017-09-03,5
2017-09-10,5
2017-09-17,4
2017-09-24,4
2017-10-01,5
2017-10-08,6
2017-10-15,8
2017-10-22,5
2017-10-29,5
2017-11-05,6
2017-11-12,7
2017-11-19,8
2017-11-26,13
2017-12-03,14
2017-12-10,53
2017-12-17,59
2017-12-24,70
2017-12-31,100
2018-01-07,71
2018-01-14,45
2018-01-21,24
2018-01-28,22
2018-02-04,21
2018-02-11,17
2018-02-18,13
2018-02-25,10
2018-03-04,13
2018-03-11,10
2018-03-18,9
2018-03-25,9
2018-04-01,8
2018-04-08,8
2018-04-15,10
2018-04-22,9
2018-04-29,8
2018-05-06,7
2018-05-13,6
2018-05-20,7
2018-05-27,5
