f2v5n2e35_loss,f2v5n2e35val_loss
0.01952568324351028,0.016293041303160262
0.01552214974386674,0.009645304042631043
0.013800603290589767,0.005951904914032279
0.012090621990523987,0.0046398592306874115
0.010668323448850554,0.0038716136308381806
0.009272630575176275,0.003345324248484858
0.007767511804165481,0.0025786304466457076
0.00671392217692231,0.002196416064999629
0.005704987364668168,0.002054716448333488
0.004788796202476827,0.0020335852405568714
0.004152419051480428,0.002361039952450153
0.003574914820204877,0.0026380094057678214
0.0031261734321965007,0.002897923611421752
0.0027853345019807265,0.0032213493825990584
0.0025737847218868957,0.0033577391653894805
0.002370030859435431,0.0040498767297581905
0.002323086327068553,0.0040768326988065064
0.0023248829500872037,0.004966320788518495
0.002185620100044376,0.004453568975824945
0.0020989420180665733,0.004687444253179889
0.0020741908694502263,0.005366616061080125
0.0020310706844477175,0.004836467133737732
0.0020098079367208885,0.00538944977893402
0.002080170318408206,0.004199072717980656
0.00205023546867608,0.005302744789642619
0.0020025235895340214,0.004569930254717122
0.0019151039833081936,0.005164771286417617
0.0018990707830724056,0.004882139148661396
0.001964911601377472,0.004231619979331659
0.0019188160765265688,0.005052179086615669
0.0019085505040287068,0.00502688121076182
0.0018890178542753735,0.004290061817340716
0.0018957962365339523,0.004942411070070383
0.0018609417746211206,0.004919427806501287
0.001822298104686805,0.004524848989983714
